age,assists,blocks,defensive_rebound,effective_field_goal_percentage,field_goal_attempts,field_goal_made,field_goal_percentage,free_throw_attempts,free_throw_made,free_throw_percentage,games_played,games_started,minutes_played,name,offensive_rebound,personal_fouls,points,position,ranking,steals,team,three_pt_percentage,three_pts_attempts,three_pts_made,total_rebound,turnover,two_pts_attempts,two_pts_made,two_pts_percentage
24,,,,.597,,,.586,,,.762,50,25,,Marvin Bagley III,,,,C,20,,TOT,.391,,,,,,,.597
24,,,,.594,,,.591,,,.820,26,10,,Marvin Bagley III,,,,C,20,,,.167,,,,,,,.606
31,,,,,,,.474,,,.801,82,82,2381,Harrison Barnes,,,,PF,29,,,.387,,,,,,,.571
22,,,,,,,.475,,,.781,60,60,2094,Scottie Barnes,,,,SG,30,,,.341,,,,,,,.536
23,,,,,,,.495,,,.715,58,58,1838,RJ Barrett,,,,SG,31,,TOT,.360,,,,,,,.549
24,79,72,177,.608,209,126,.603,87,57,.655,62,33,957,Goga Bitadze,109,107,311,C,44,32,,.143,14,2,286,44,195,124,.636
24,13,2,26,.452,84,32,.381,5,4,.800,23,1,268,Onuralp Bitim,6,24,80,SG,45,3,,.273,44,12,32,10,40,20,.500
31,53,37,147,.565,131,74,.565,54,26,.481,40,27,791,Bismack Biyombo,62,89,174,C,46,11,TOT,,0,0,209,42,131,74,.565
24,,,,.599,,,.581,,,.708,24,15,,Marvin Bagley III,,,,C,20,,,.471,,,,,,,.590
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
19,,,,.354,,,.333,,,.857,10,0,,Amari Bailey,,,,PG,21,,,.125,,,,,,,.438
23,,,,,,,.423,,,.831,26,26,766,RJ Barrett,,,,SG,31,,,.331,,,,,,,.469
23,,,,,,,.553,,,.629,32,32,1072,RJ Barrett,,,,SG,31,,,.392,,,,,,,.605
31,51,34,134,.563,119,67,.563,46,22,.478,30,27,718,Bismack Biyombo,57,82,156,C,46,10,,,0,0,191,38,119,67,.563
31,2,3,13,.583,12,7,.583,8,4,.500,10,0,73,Bismack Biyombo,5,7,18,C,46,1,,,0,0,18,4,12,7,.583
21,,,,.481,,,.381,,,.679,38,7,,Patrick Baldwin Jr.,,,,SF,22,,,.320,,,,,,,.483
22,,,,.515,,,.433,,,.865,22,22,,LaMelo Ball,,,,PG,23,,,.355,,,,,,,.500
23,,,,,,,.725,,,.833,19,0,205,Charles Bassey,,,,C,32,,,.000,,,,,,,.744
20,,,,,,,.306,,,.250,15,0,133,Emoni Bates,,,,SF,33,,,.303,,,,,,,.313
28,,,,,,,.434,,,.762,53,8,665,Keita Bates-Diop,,,,SF,34,,TOT,.304,,,,,,,.526
20,91,21,106,.540,247,115,.466,80,49,.613,69,33,1164,Anthony Black,33,110,316,PG,47,35,,.394,94,37,139,56,153,78,.510
24,24,11,39,.567,52,25,.481,15,10,.667,26,3,284,Leaky Black,9,19,69,SF,48,8,,.450,20,9,48,6,32,16,.500
24,3,1,7,.448,29,9,.310,10,8,.800,10,0,84,Buddy Boeheim,3,5,34,SF,49,0,,.320,25,8,10,0,4,1,.250
25,,,,.553,,,.490,,,.680,57,17,,Mo Bamba,,,,C,24,,,.391,,,,,,,.537
21,,,,.497,,,.455,,,.725,80,80,,Paolo Banchero,,,,PF,25,,,.339,,,,,,,.493
25,,,,.552,,,.464,,,.870,42,42,,Desmond Bane,,,,SG,26,,,.381,,,,,,,.536
28,,,,,,,.427,,,.722,39,8,597,Keita Bates-Diop,,,,SF,34,,,.313,,,,,,,.512
28,,,,,,,.500,,,1.000,14,0,68,Keita Bates-Diop,,,,SF,34,,,.200,,,,,,,.636
31,247,26,219,.537,1100,471,.428,164,151,.921,79,33,2401,Bogdan Bogdanović,53,179,1333,SG,50,96,,.374,641,240,272,112,459,231,.503
34,97,5,130,.551,681,309,.454,149,117,.785,57,27,1478,Bojan Bogdanović,22,95,868,SF-PF,51,30,TOT,.398,334,133,152,101,347,176,.507
24,,,,.463,,,.404,,,.783,54,9,,Dalano Banton,,,,PG,27,,TOT,.296,,,,,,,.475
24,,,,.392,,,.373,,,.800,24,1,,Dalano Banton,,,,PG,27,,,.125,,,,,,,.486
35,,,,,,,.453,,,.714,60,38,1529,Nicolas Batum,,,,PF,35,,TOT,.395,,,,,,,.606
35,,,,,,,.375,,,,3,0,54,Nicolas Batum,,,,PF,35,,,.286,,,,,,,1.000
34,71,4,81,.569,425,199,.468,104,81,.779,28,27,921,Bojan Bogdanović,13,57,565,PF,51,23,,.415,207,86,94,63,218,113,.518
34,26,1,49,.521,256,110,.430,45,36,.800,29,0,557,Bojan Bogdanović,9,38,303,SF,51,7,,.370,127,47,58,38,129,63,.488
24,,,,.471,,,.408,,,.780,30,8,,Dalano Banton,,,,PG,27,,,.311,,,,,,,.474
20,,,,.509,,,.496,,,.690,33,1,,Dominick Barlow,,,,PF,28,,,.333,,,,,,,.510
35,,,,,,,.456,,,.714,57,38,1475,Nicolas Batum,,,,PF,35,,,.399,,,,,,,.600
23,,,,,,,.600,,,.833,9,0,152,Darius Bazley,,,,PF,36,,TOT,.250,,,,,,,.727
24,17,25,105,.689,151,93,.616,19,15,.789,43,0,469,Bol Bol,32,42,223,PF,52,10,,.423,52,22,137,19,99,71,.717
25,4,7,24,.680,25,17,.680,4,3,.750,11,2,121,Marques Bolden,10,10,37,C,53,3,TOT,.000,1,0,34,3,24,17,.708
31,,,,.576,,,.474,,,.801,82,82,,Harrison Barnes,,,,PF,29,,,.387,,,,,,,.571
22,,,,.528,,,.475,,,.781,60,60,,Scottie Barnes,,,,SG,30,,,.341,,,,,,,.536
23,,,,,,,.000,,,,3,0,10,Darius Bazley,,,,PF,36,,,,,,,,,,.000
23,,,,,,,.621,,,.833,6,0,142,Darius Bazley,,,,PF,36,,,.250,,,,,,,.762
25,0,0,2,,0,0,,0,0,,2,0,3,Marques Bolden,0,1,0,C,53,0,,,0,0,2,0,0,0,
25,4,7,22,.680,25,17,.680,4,3,.750,9,2,118,Marques Bolden,10,9,37,C,53,3,,.000,1,0,32,3,24,17,.708
23,,,,.547,,,.495,,,.715,58,58,,RJ Barrett,,,,SG,31,,TOT,.360,,,,,,,.549
23,,,,.478,,,.423,,,.831,26,26,,RJ Barrett,,,,SG,31,,,.331,,,,,,,.469
30,,,,,,,.513,,,.813,53,53,1767,Bradley Beal,,,,SG,37,,,.430,,,,,,,.552
27,,,,,,,.443,,,.714,79,77,2337,Malik Beasley,,,,SG,38,,,.413,,,,,,,.533
23,,,,,,,.488,,,.679,48,1,608,MarJon Beauchamp,,,,SF,39,,,.400,,,,,,,.560
27,472,28,252,.550,1305,642,.492,457,405,.886,68,68,2447,Devin Booker,56,206,1841,PG,54,61,,.364,418,152,308,178,887,490,.552
22,13,8,33,.447,161,65,.404,33,23,.697,32,0,345,Brandon Boston Jr.,19,40,167,SF,55,11,,.269,52,14,52,24,109,51,.468
23,,,,.601,,,.553,,,.629,32,32,,RJ Barrett,,,,SG,31,,,.392,,,,,,,.605
23,,,,.725,,,.725,,,.833,19,0,,Charles Bassey,,,,C,32,,,.000,,,,,,,.744
24,,,,,,,.453,,,.556,19,0,149,Jules Bernard,,,,SG,40,,,.379,,,,,,,.514
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
31,23,24,145,.578,217,110,.507,92,71,.772,50,0,705,Chris Boucher,62,68,322,PF,56,14,,.330,94,31,207,28,123,79,.642
23,6,1,8,.598,41,18,.439,2,1,.500,14,0,81,James Bouknight,1,3,50,SG,57,1,,.433,30,13,9,2,11,5,.455
20,,,,.408,,,.306,,,.250,15,0,,Emoni Bates,,,,SF,33,,,.303,,,,,,,.313
28,,,,.497,,,.434,,,.762,53,8,,Keita Bates-Diop,,,,SF,34,,TOT,.304,,,,,,,.526
